method,task,metric,mean,sd,n
laplace,mmlu_science_college,brier,0.3804200000,0.0045554363,5
laplace,gpqa_main,acc,36.4720000000,0.9013434418,5
laplace,gpqa_main,nll,1.6876200000,0.0133346166,5
laplace,gpqa_main,ece,23.0680000000,1.2663411863,5
laplace,gpqa_main,brier,0.8057400000,0.0080494099,5
blob sample,iid,acc,93.3500000000,0.1574801575,5
blob sample,iid,nll,0.1293600000,0.0016727223,5
blob sample,iid,ece,1.1720000000,0.2738977912,5
blob sample,iid,brier,0.0802000000,0.0006519202,5
blob sample,grade12,acc,91.2280000000,0.5291691601,5
blob sample,grade12,nll,0.2445600000,0.0085978486,5
blob sample,grade12,ece,4.5640000000,0.6797646652,5
blob sample,grade12,brier,0.1341800000,0.0061320470,5
blob sample,obqa,acc,87.9200000000,0.1788854382,5
blob sample,obqa,nll,0.3668600000,0.0093932423,5
blob sample,obqa,ece,3.5800000000,0.8824114686,5
blob sample,obqa,brier,0.1752200000,0.0026243094,5
blob sample,arc-c,acc,91.4660000000,0.4821617986,5
blob sample,arc-c,nll,0.2667800000,0.0084567724,5
blob sample,arc-c,ece,3.9600000000,0.4743943507,5
blob sample,arc-c,brier,0.1271600000,0.0033879197,5
blob sample,mmlu_science_high,acc,81.9900000000,0.2724885319,5
blob sample,mmlu_science_high,nll,0.5847400000,0.0093411991,5
blob sample,mmlu_science_high,ece,6.2660000000,0.5255758746,5
blob sample,mmlu_science_high,brier,0.2617200000,0.0023679105,5
blob sample,mmlu_science_college,acc,74.3380000000,0.4301395123,5
blob sample,mmlu_science_college,nll,0.8005800000,0.0117501915,5
blob sample,mmlu_science_college,ece,7.5860000000,0.7697597028,5
blob sample,mmlu_science_college,brier,0.3699000000,0.0045066617,5
blob sample,gpqa_main,acc,35.0900000000,0.6189507250,5
blob sample,gpqa_main,nll,1.5855000000,0.0113633182,5
blob sample,gpqa_main,ece,20.5800000000,0.5701754116,5
blob sample,gpqa_main,brier,0.7851800000,0.0027932060,5
tfb sample,iid,acc,94.1060000000,0.4526367197,5
tfb sample,iid,nll,0.1465600000,0.0062215754,5
tfb sample,iid,ece,1.8200000000,0.4678675026,5
tfb sample,iid,brier,0.0789000000,0.0029673220,5
tfb sample,grade12,acc,93.0320000000,0.7412624367,5
tfb sample,grade12,nll,0.2466800000,0.0098304120,5
tfb sample,grade12,ece,3.3880000000,0.7294312853,5
tfb sample,grade12,brier,0.1162200000,0.0046916948,5
tfb sample,obqa,acc,88.4400000000,0.2966479395,5
tfb sample,obqa,nll,0.3889000000,0.0072104091,5
tfb sample,obqa,ece,3.4640000000,0.7934607741,5
tfb sample,obqa,brier,0.1795000000,0.0013038405,5
tfb sample,arc-c,acc,91.5380000000,0.4163772328,5
tfb sample,arc-c,nll,0.2878400000,0.0096898400,5
tfb sample,arc-c,ece,3.3060000000,1.0592355734,5
tfb sample,arc-c,brier,0.1351400000,0.0053087663,5
tfb sample,mmlu_science_high,acc,81.5660000000,0.4366692112,5
tfb sample,mmlu_science_high,nll,0.5886400000,0.0140416523,5
tfb sample,mmlu_science_high,ece,6.6040000000,0.8985989094,5
tfb sample,mmlu_science_high,brier,0.2757600000,0.0025195238,5
tfb sample,mmlu_science_college,acc,72.9480000000,1.1493345901,5
tfb sample,mmlu_science_college,nll,0.8181400000,0.0217697726,5
tfb sample,mmlu_science_college,ece,8.4620000000,0.7396418052,5
tfb sample,mmlu_science_college,brier,0.3855400000,0.0032600613,5
tfb sample,gpqa_main,acc,35.7120000000,1.2910538331,5
tfb sample,gpqa_main,nll,1.5408600000,0.0264895829,5
tfb sample,gpqa_main,ece,20.8780000000,1.2048526881,5
tfb sample,gpqa_main,brier,0.7812400000,0.0055684827,5
clora sample,iid,acc,92.3220000000,0.1997998999,5
clora sample,iid,nll,0.1524400000,0.0045136460,5
clora sample,iid,ece,1.4220000000,0.1536879956,5
clora sample,iid,brier,0.0940600000,0.0028614682,5
clora sample,grade12,acc,89.2900000000,1.3382264382,5
clora sample,grade12,nll,0.2556800000,0.0167766802,5
clora sample,grade12,ece,3.6720000000,0.6162548174,5
clora sample,grade12,brier,0.1538800000,0.0114744063,5
clora sample,obqa,acc,86.3600000000,0.5366563146,5
clora sample,obqa,nll,0.4074200000,0.0247872346,5
clora sample,obqa,ece,4.1760000000,1.1867518696,5
clora sample,obqa,brier,0.1941600000,0.0096784813,5
clora sample,arc-c,acc,91.1420000000,0.2219684662,5
clora sample,arc-c,nll,0.2820800000,0.0093395396,5
clora sample,arc-c,ece,3.7620000000,0.3717122543,5
clora sample,arc-c,brier,0.1353600000,0.0041076757,5
clora sample,mmlu_science_high,acc,80.2720000000,0.6917514004,5
clora sample,mmlu_science_high,nll,0.6074800000,0.0101826814,5
clora sample,mmlu_science_high,ece,7.1900000000,0.3489985673,5
clora sample,mmlu_science_high,brier,0.2828000000,0.0028991378,5
clora sample,mmlu_science_college,acc,73.5280000000,1.4836172013,5
clora sample,mmlu_science_college,nll,0.8042800000,0.0167210048,5
clora sample,mmlu_science_college,ece,7.3980000000,0.9401170140,5
clora sample,mmlu_science_college,brier,0.3718600000,0.0040605418,5
clora sample,gpqa_main,acc,35.5780000000,1.1438400238,5
clora sample,gpqa_main,nll,1.5794600000,0.0061072089,5
clora sample,gpqa_main,ece,19.8820000000,0.9973815719,5
clora sample,gpqa_main,brier,0.7859800000,0.0017441330,5
seq,iid,acc,94.2600000000,0.2158703314,5
seq,iid,nll,0.1336400000,0.0060562365,5
seq,iid,ece,1.7500000000,0.4128559071,5
seq,iid,brier,0.0788000000,0.0026485845,5
seq,grade12,acc,92.9680000000,0.8966158598,5
seq,grade12,nll,0.2231600000,0.0078554440,5
seq,grade12,ece,4.2400000000,1.4576179198,5
seq,grade12,brier,0.1254400000,0.0039991249,5
seq,obqa,acc,88.3200000000,0.3633180425,5
seq,obqa,nll,0.3425200000,0.0052608935,5
seq,obqa,ece,2.9220000000,0.8835553180,5
seq,obqa,brier,0.1734400000,0.0026754439,5
seq,arc-c,acc,91.8580000000,0.2611895863,5
seq,arc-c,nll,0.2364000000,0.0027739863,5
seq,arc-c,ece,1.7500000000,0.8775249284,5
seq,arc-c,brier,0.1214200000,0.0023657980,5
seq,mmlu_science_high,acc,82.1100000000,0.1955760722,5
seq,mmlu_science_high,nll,0.5198000000,0.0079771549,5
seq,mmlu_science_high,ece,3.1120000000,1.2550976058,5
seq,mmlu_science_high,brier,0.2572600000,0.0025909458,5
seq,mmlu_science_college,acc,72.4300000000,1.6683674655,5
seq,mmlu_science_college,nll,0.7268800000,0.0134917382,5
seq,mmlu_science_college,ece,6.1840000000,2.1944088042,5
seq,mmlu_science_college,brier,0.3679200000,0.0038590154,5
seq,gpqa_main,acc,35.4460000000,0.4838698172,5
seq,gpqa_main,nll,1.4747400000,0.0328891015,5
seq,gpqa_main,ece,17.3580000000,2.0474178860,5
seq,gpqa_main,brier,0.7670800000,0.0106586585,5
